humidity,weathersit,holiday,season,atemp,temperature,hr,total,day,month,year
22,1,0,2,0.6818,0.8,16,318,2,6,2011
94,2,0,1,0.4545,0.46,3,6,2,1,2011
71,1,0,2,0.3485,0.36,8,160,14,4,2012
43,1,0,3,0.7424,0.82,10,209,3,7,2012
68,2,0,2,0.5152,0.54,13,129,19,4,2011
93,2,0,1,0.3485,0.36,4,2,3,3,2012
36,1,0,4,0.4848,0.5,22,166,15,10,2011
70,2,0,3,0.7273,0.76,0,34,25,7,2011
65,2,0,3,0.6212,0.66,4,13,24,6,2012
66,1,0,3,0.697,0.74,20,513,1,8,2012
56,2,0,4,0.3333,0.32,21,139,17,11,2012
47,1,0,3,0.803,0.86,11,470,4,8,2012
50,1,0,1,0.1212,0.12,1,6,13,2,2012
49,1,0,3,0.7121,0.78,21,267,26,7,2011
35,1,0,4,0.4394,0.44,13,365,21,11,2012
77,1,0,4,0.5152,0.54,8,449,29,11,2011
43,2,0,2,0.7273,0.8,14,146,7,6,2011
62,3,0,1,0.3939,0.38,7,208,1,2,2012
82,2,0,4,0.4697,0.48,17,616,10,12,2012
51,1,0,1,0.2273,0.22,23,32,12,2,2011
59,2,0,2,0.4848,0.5,20,232,1,4,2012
65,1,0,3,0.6515,0.7,23,105,17,8,2011
46,1,0,2,0.5455,0.58,22,228,2,6,2012
45,1,0,3,0.6364,0.7,20,341,18,8,2012
79,2,0,2,0.7121,0.74,0,47,9,6,2011
87,3,0,4,0.3333,0.36,3,3,9,10,2012
46,3,0,3,0.7576,0.82,13,158,13,7,2011
83,1,0,3,0.6061,0.66,4,9,24,6,2011
31,1,0,3,0.803,0.9,15,302,30,7,2011
56,1,0,2,0.3333,0.34,8,62,3,4,2011
94,2,0,3,0.5152,0.54,22,84,6,9,2011
66,1,0,2,0.3939,0.38,21,220,30,3,2012
61,1,0,4,0.3485,0.34,20,136,21,11,2012
100,3,0,3,0.5152,0.62,23,26,8,9,2011
26,2,1,1,0.4242,0.42,6,8,21,2,2011
56,1,0,1,0.303,0.32,20,77,13,3,2011
88,1,0,2,0.4394,0.44,3,5,12,5,2011
47,1,1,3,0.803,0.86,19,432,4,7,2012
70,1,0,3,0.7273,0.76,19,552,4,9,2012
78,2,0,3,0.6061,0.66,17,563,22,9,2011
62,2,0,3,0.7121,0.76,13,186,23,6,2011
55,2,0,3,0.697,0.76,20,202,22,6,2012
56,1,0,2,0.2727,0.3,19,138,24,3,2011
62,2,0,3,0.6818,0.72,11,153,15,8,2011
84,2,1,3,0.6667,0.7,9,229,3,9,2012
70,1,0,1,0.2727,0.3,0,7,1,3,2011
63,1,0,1,0.1212,0.08,5,4,11,2,2011
88,1,0,2,0.4545,0.46,22,78,21,3,2011
25,1,0,2,0.6061,0.62,15,439,11,5,2012
60,2,0,1,0.2424,0.22,10,55,25,1,2011
54,1,0,2,0.6667,0.72,13,302,24,5,2012
83,1,0,3,0.6061,0.66,3,51,21,8,2011
78,2,0,3,0.5909,0.62,6,94,27,6,2011
94,1,0,4,0.4242,0.42,4,10,8,10,2011
65,1,0,3,0.6212,0.66,20,299,12,9,2011
70,1,0,1,0.303,0.28,3,2,29,2,2012
87,1,0,4,0.3485,0.32,2,1,8,11,2011
68,1,0,3,0.5,0.52,4,5,10,9,2012
79,2,0,4,0.6364,0.68,14,152,27,9,2011
77,1,0,2,0.4242,0.42,4,8,31,3,2012
56,2,0,1,0.303,0.28,12,135,24,12,2012
77,1,0,4,0.4394,0.44,20,219,9,11,2011
69,1,0,1,0.2727,0.22,0,12,24,12,2012
69,2,0,2,0.6061,0.64,13,139,11,4,2011
45,2,0,2,0.5152,0.54,22,173,7,5,2012
66,2,0,3,0.697,0.74,12,499,14,7,2012
49,1,0,4,0.5455,0.58,18,511,30,9,2011
64,1,0,1,0.2727,0.22,4,2,8,3,2011
77,1,0,1,0.4394,0.44,4,14,15,3,2012
21,1,0,1,0.3333,0.36,17,234,29,1,2012
52,1,0,1,0.2727,0.28,0,15,31,1,2012
75,2,0,1,0.1818,0.2,18,110,21,1,2012
53,1,0,3,0.9242,0.9,15,133,21,7,2011
93,3,0,1,0.197,0.22,14,36,26,1,2011
94,3,0,4,0.5455,0.62,0,52,3,10,2012
61,1,0,4,0.3182,0.3,0,102,4,11,2012
53,1,0,3,0.803,0.84,8,130,8,7,2012
59,1,0,2,0.5,0.52,0,49,6,6,2012
93,2,0,1,0.303,0.32,23,50,24,2,2011
67,1,0,2,0.4242,0.42,4,1,4,4,2012
41,1,0,1,0.4242,0.42,18,241,28,1,2012
23,1,0,2,0.5,0.52,17,655,6,4,2012
28,1,0,2,0.6061,0.6,16,587,29,4,2012
74,3,0,3,0.697,0.72,11,212,20,7,2012
94,3,0,1,0.4242,0.42,22,55,29,2,2012
83,3,0,3,0.2424,0.66,22,213,17,8,2012
32,1,0,1,0.3485,0.36,17,287,26,2,2012
43,1,0,2,0.6212,0.6,17,748,19,4,2012
31,1,0,3,0.6667,0.76,20,445,27,6,2012
50,1,0,1,0.1515,0.14,6,5,14,1,2012
61,1,0,4,0.303,0.3,7,70,13,10,2012
36,1,0,2,0.4848,0.5,20,276,9,4,2012
64,2,0,4,0.5152,0.54,13,272,4,12,2012
93,2,0,2,0.303,0.3,7,21,9,4,2011
87,2,0,1,0.2121,0.24,4,3,27,12,2012
69,1,0,2,0.6212,0.66,22,174,25,5,2011
45,1,0,1,0.303,0.3,18,93,23,12,2012
64,1,0,2,0.6061,0.6,22,271,23,3,2012
94,2,0,2,0.5455,0.58,6,112,24,5,2011
52,2,0,3,0.7424,0.8,13,313,8,8,2012
60,3,0,2,0.5303,0.56,1,14,4,6,2012
70,1,0,3,0.6818,0.72,21,320,1,8,2012
30,1,0,1,0.4394,0.44,20,149,3,3,2012
57,1,0,2,0.6667,0.72,12,358,28,5,2011
64,1,0,1,0.2273,0.2,0,39,13,2,2011
34,1,1,1,0.3182,0.36,2,7,2,1,2012
74,2,0,3,0.697,0.72,8,751,30,7,2012
67,1,0,4,0.4394,0.44,4,8,24,9,2012
47,1,0,2,0.4242,0.42,21,234,5,4,2012
83,1,0,2,0.5758,0.64,20,310,23,5,2011
59,1,0,1,0.2121,0.2,21,47,11,2,2011
83,2,0,3,0.5606,0.6,23,102,20,8,2012
78,2,0,4,0.5303,0.56,13,313,25,10,2012
89,1,0,3,0.6364,0.68,2,7,26,7,2011
77,2,0,1,0.4242,0.42,13,137,2,2,2012
45,1,1,1,0.2576,0.28,4,4,2,1,2012
31,1,0,1,0.1212,0.16,4,1,3,3,2011
67,2,0,1,0.4394,0.44,12,167,5,3,2011
70,1,0,3,0.6818,0.72,23,136,8,8,2012
40,2,0,1,0.6212,0.6,19,416,8,3,2012
80,1,0,1,0.2121,0.2,7,256,11,1,2012
28,1,0,1,0.3182,0.3,16,89,5,1,2011
83,2,0,2,0.5758,0.62,22,159,23,5,2012
88,2,0,2,0.4697,0.48,7,134,5,4,2011
93,2,0,4,0.3636,0.36,6,20,8,12,2012
66,2,0,2,0.697,0.74,19,373,26,5,2012
87,1,0,4,0.3485,0.36,5,5,27,11,2011
71,1,0,4,0.4242,0.42,3,5,25,9,2012
40,1,0,2,0.6515,0.74,21,316,9,6,2012
49,1,0,4,0.2727,0.3,13,228,18,12,2011
65,2,0,1,0.2879,0.3,4,3,27,12,2011
72,2,0,4,0.4394,0.44,10,229,20,11,2011
87,2,0,2,0.303,0.32,2,4,23,4,2012
71,1,0,4,0.3485,0.36,22,106,2,11,2011
61,2,0,4,0.3182,0.3,6,130,16,11,2012
57,1,0,2,0.6818,0.74,8,452,10,6,2011
57,1,0,3,0.6667,0.72,23,140,9,7,2011
62,1,0,1,0.4091,0.4,12,201,1,1,2012
70,1,0,3,0.7273,0.76,22,174,28,7,2011
75,1,0,3,0.7424,0.76,23,123,28,7,2011
89,2,0,2,0.5758,0.64,8,583,25,5,2012
88,1,0,2,0.5,0.52,0,33,21,3,2012
61,1,0,4,0.303,0.34,23,51,23,11,2011
33,1,0,1,0.2424,0.28,17,332,13,1,2012
60,2,0,1,0.2273,0.24,18,197,27,12,2012
66,1,0,3,0.7576,0.78,22,98,24,7,2011
65,1,0,1,0.2424,0.24,6,88,3,2,2012
83,2,0,4,0.5758,0.62,9,426,28,9,2012
71,2,0,4,0.4091,0.4,17,590,20,11,2012
94,2,0,4,0.5152,0.54,2,4,13,10,2011
62,1,0,3,0.6818,0.74,20,366,18,7,2012
23,1,0,1,0.2879,0.24,15,68,3,3,2011
56,1,0,3,0.6212,0.6,5,28,14,7,2011
52,1,0,3,0.7727,0.82,1,70,23,7,2011
50,2,0,4,0.4091,0.4,19,410,31,10,2012
37,1,0,2,0.5152,0.54,23,180,11,5,2012
28,1,0,2,0.3182,0.34,14,216,26,3,2011
70,2,0,4,0.2576,0.26,1,66,10,12,2011
94,2,0,4,0.4545,0.46,8,391,21,11,2011
75,2,0,4,0.2879,0.26,8,119,15,12,2012
61,2,0,3,0.6515,0.7,1,78,3,7,2011
61,1,0,1,0.303,0.32,2,7,28,12,2011
88,2,0,2,0.4848,0.5,2,52,14,5,2011
83,1,0,3,0.6061,0.66,4,6,31,7,2012
82,1,0,2,0.4091,0.4,6,54,18,4,2011
86,1,0,1,0.2121,0.14,5,3,30,1,2011
78,2,0,3,0.5909,0.62,7,442,20,8,2012
73,1,0,2,0.6061,0.64,9,177,28,5,2011
77,1,0,2,0.5152,0.54,20,282,19,5,2011
27,2,0,2,0.6212,0.64,15,658,14,4,2012
41,1,0,3,0.7121,0.8,15,159,16,8,2011
38,1,0,1,0.197,0.24,22,82,25,2,2012
36,1,1,1,0.2727,0.3,13,176,2,1,2012
39,1,0,1,0.2879,0.3,20,111,29,1,2012
88,2,0,2,0.5303,0.56,2,4,15,5,2012
89,1,0,3,0.5909,0.66,5,8,21,8,2011
69,1,0,2,0.6061,0.64,16,440,15,5,2011
52,1,0,1,0.2879,0.3,19,69,5,2,2012
82,1,0,4,0.4545,0.46,10,156,4,12,2012
75,1,0,4,0.2424,0.24,4,7,19,12,2012
15,1,0,1,0.4091,0.4,4,3,19,2,2011
70,1,0,3,0.6818,0.72,7,305,28,7,2011
71,2,0,1,0.3788,0.36,3,2,21,12,2011
75,1,0,4,0.2879,0.28,22,138,14,12,2012
94,1,0,3,0.5303,0.56,22,148,20,9,2011
81,2,0,4,0.3333,0.36,4,9,13,11,2012
100,2,0,1,0.4242,0.42,7,134,27,1,2012
68,2,0,3,0.5152,0.54,21,147,18,9,2011
56,2,0,1,0.2727,0.26,11,103,5,3,2012
69,2,0,2,0.6061,0.62,18,642,18,6,2012
51,1,0,3,0.6667,0.74,0,37,10,8,2011
77,2,0,2,0.4242,0.42,18,505,18,4,2012
69,1,0,2,0.6061,0.64,21,235,4,5,2012
81,1,0,1,0.2727,0.26,10,205,18,2,2012
87,2,0,2,0.3485,0.36,2,24,16,4,2011
48,1,0,3,0.6515,0.7,21,226,12,8,2011
61,1,0,2,0.6364,0.68,20,336,6,6,2011
42,1,1,1,0.303,0.34,5,4,26,12,2011
56,2,0,4,0.2424,0.26,6,17,17,12,2011
64,1,0,4,0.2576,0.22,1,16,29,11,2012
94,3,0,2,0.5455,0.62,20,39,1,6,2012
82,2,0,4,0.3939,0.38,12,417,16,12,2012
72,2,0,1,0.5,0.52,10,92,28,2,2011
45,2,0,3,0.6667,0.74,9,305,13,8,2012
55,2,1,3,0.697,0.76,10,280,4,7,2011
52,3,0,1,0.5303,0.56,1,26,9,3,2012
51,1,0,3,0.6515,0.7,10,328,12,8,2012
82,2,0,4,0.4394,0.44,9,195,24,10,2011
55,2,0,1,0.2273,0.22,8,230,16,2,2011
65,1,0,2,0.6212,0.66,19,431,20,6,2011
57,1,0,1,0.4091,0.4,14,75,19,1,2011
37,1,0,1,0.1818,0.22,23,31,5,3,2012
83,2,0,3,0.5606,0.6,6,24,20,8,2011
88,3,0,2,0.5152,0.54,9,110,14,5,2012
52,1,0,1,0.2121,0.24,6,5,19,2,2012
56,1,0,2,0.5303,0.56,2,74,17,6,2012
63,1,0,1,0.1515,0.14,21,59,24,1,2011
54,1,0,1,0.1515,0.12,6,28,13,1,2011
61,2,0,1,0.2879,0.3,3,3,27,12,2011
25,1,0,1,0.2273,0.22,12,72,3,3,2011
36,2,0,3,0.7576,0.86,19,454,2,8,2011
27,1,0,2,0.4848,0.5,17,656,12,4,2012
48,1,0,3,0.6667,0.72,7,347,27,7,2011
94,1,0,3,0.5152,0.54,4,4,12,9,2011
46,2,0,4,0.3333,0.34,16,329,12,12,2012
69,1,0,4,0.6061,0.62,21,321,4,10,2012
64,2,0,4,0.5152,0.54,18,145,20,11,2011
66,1,0,3,0.697,0.74,19,652,1,8,2012
56,1,0,4,0.6212,0.66,18,887,4,10,2012
66,1,0,2,0.3182,0.34,4,7,5,5,2011
59,1,0,3,0.7727,0.8,9,229,5,8,2012
56,1,0,2,0.6364,0.68,13,284,14,6,2012
49,1,0,4,0.2727,0.3,23,74,5,12,2012
94,1,0,2,0.4848,0.5,1,6,19,5,2011
49,1,0,3,0.7424,0.8,13,226,30,7,2012
94,2,0,3,0.5909,0.66,1,17,4,8,2011
55,3,0,1,0.197,0.18,4,1,8,1,2011
60,2,0,2,0.5303,0.56,3,5,4,6,2012
40,1,0,4,0.6212,0.6,16,566,10,10,2012
87,1,0,4,0.3333,0.3,1,10,2,11,2011
33,1,0,1,0.2121,0.26,17,346,18,1,2012
88,2,0,2,0.5,0.52,8,487,19,5,2011
93,3,0,2,0.2273,0.24,5,12,1,4,2011
73,2,0,2,0.5152,0.54,3,4,5,4,2011
56,2,0,2,0.6212,0.64,17,594,12,5,2011
48,1,0,4,0.303,0.26,21,64,25,11,2012
75,2,1,1,0.2576,0.28,17,80,21,2,2011
19,1,0,1,0.4242,0.42,17,127,19,2,2011
88,3,0,4,0.4697,0.48,5,15,27,10,2011
41,1,0,4,0.2273,0.22,22,95,10,12,2011
61,1,1,4,0.2879,0.3,2,22,24,11,2011
60,2,0,1,0.2576,0.26,19,119,31,12,2012
79,1,0,3,0.6667,0.7,6,121,6,7,2011
79,1,0,3,0.7121,0.74,3,11,29,7,2011
82,3,0,2,0.4091,0.4,6,10,16,4,2011
77,2,0,2,0.4848,0.5,9,212,12,5,2011
55,1,0,3,0.697,0.76,1,90,30,7,2011
83,2,0,2,0.5758,0.62,2,23,25,5,2012
61,3,0,1,0.3182,0.3,15,54,8,2,2012
82,1,0,3,0.4848,0.5,6,195,13,9,2012
56,1,0,1,0.2273,0.28,10,75,27,12,2012
77,1,0,3,0.4394,0.44,6,12,18,9,2011
52,1,0,1,0.2727,0.28,6,104,31,1,2012
50,1,0,1,0.1364,0.12,9,205,13,2,2012
65,1,0,2,0.6364,0.68,9,234,25,5,2011
70,2,0,1,0.3333,0.32,20,88,7,2,2011
61,1,0,1,0.2727,0.3,1,5,7,3,2012
72,2,0,2,0.5,0.52,5,20,8,5,2012
79,1,0,3,0.6667,0.7,23,55,11,7,2011
74,2,0,3,0.697,0.72,22,155,4,9,2011
76,1,0,1,0.3939,0.38,9,90,31,12,2011
61,1,0,4,0.3182,0.3,0,41,19,12,2012
39,1,0,3,0.7727,0.86,16,285,9,8,2011
65,1,0,3,0.6061,0.64,7,274,15,7,2011
71,2,0,4,0.3788,0.36,6,94,3,10,2011
53,1,0,4,0.303,0.34,9,327,9,11,2012
62,1,0,2,0.3939,0.38,8,692,10,4,2012
87,1,0,4,0.3333,0.3,2,2,2,11,2011
93,1,0,1,0.2576,0.26,7,7,1,1,2012
36,1,0,4,0.5,0.52,10,275,12,10,2012
43,1,0,1,0.1364,0.14,23,23,12,2,2012
60,1,0,2,0.5152,0.54,13,638,31,3,2012
50,1,0,3,0.8182,0.86,9,242,8,7,2012
33,1,0,1,0.2424,0.28,23,29,19,2,2011
46,1,0,2,0.5455,0.58,19,586,19,4,2012
74,1,0,3,0.6212,0.66,3,5,2,8,2011
83,3,0,2,0.5606,0.6,14,180,21,5,2012
84,1,0,3,0.6667,0.7,21,269,14,7,2012
74,2,0,3,0.6667,0.7,7,520,10,7,2012
43,1,0,3,0.6212,0.6,9,342,15,9,2012
49,1,0,3,0.7879,0.84,20,195,24,7,2011
38,1,0,1,0.4545,0.46,18,246,18,2,2012
81,2,0,4,0.3182,0.3,0,16,31,10,2012
78,1,0,3,0.5909,0.64,7,308,18,8,2011
39,3,0,3,0.8333,0.9,16,182,22,7,2011
61,2,0,4,0.2727,0.28,1,92,7,11,2012
74,2,1,3,0.6212,0.66,5,6,5,9,2011
50,1,0,4,0.6212,0.62,17,393,8,10,2011
82,2,0,4,0.4091,0.4,19,250,29,11,2011
66,1,0,1,0.3788,0.36,23,31,31,12,2011
49,1,0,2,0.5455,0.58,8,476,13,6,2011
62,1,0,3,0.7424,0.78,18,253,8,7,2012
59,1,0,4,0.4848,0.5,9,363,20,10,2012
88,1,0,4,0.4545,0.46,22,215,17,10,2012
94,1,1,2,0.5606,0.64,0,103,30,5,2011
35,1,0,4,0.303,0.26,11,197,11,12,2011
73,2,0,2,0.5152,0.54,2,5,5,4,2011
52,1,1,1,0.2273,0.26,18,181,16,1,2012
94,3,0,2,0.4242,0.42,3,18,25,3,2012
37,1,0,1,0.5303,0.56,16,288,7,3,2012
25,1,0,3,0.7727,0.9,14,159,2,8,2011
41,1,0,1,0.2576,0.26,11,130,6,3,2012
41,1,0,3,0.6212,0.66,9,282,27,6,2012
79,1,0,3,0.7121,0.74,1,34,29,7,2011
87,2,0,4,0.3636,0.34,6,6,16,12,2012
79,1,0,3,0.6364,0.68,4,4,10,7,2012
77,3,0,2,0.5,0.52,0,27,4,5,2011
76,1,0,4,0.4091,0.4,21,182,8,11,2011
88,1,0,2,0.5303,0.56,7,87,5,5,2012
70,1,1,3,0.697,0.74,14,357,5,9,2011
69,2,0,1,0.1818,0.16,1,3,1,2,2011
83,1,0,2,0.6061,0.66,21,140,12,6,2011
93,1,0,1,0.2576,0.26,23,59,5,2,2011
88,1,0,2,0.4848,0.5,2,10,21,3,2012
88,1,1,4,0.4697,0.48,1,34,10,10,2011
94,3,0,3,0.5455,0.62,7,179,8,9,2011
70,1,0,3,0.697,0.74,7,50,1,7,2012
82,1,0,1,0.2273,0.2,8,499,11,1,2012
28,1,0,2,0.6364,0.7,15,212,3,6,2011
81,3,0,1,0.3485,0.36,10,141,24,2,2012
43,1,0,3,0.6818,0.76,16,410,25,6,2011
74,1,0,2,0.6667,0.7,19,358,23,5,2011
93,3,0,2,0.2121,0.24,23,12,30,3,2011
74,1,0,3,0.697,0.72,7,343,9,8,2011
77,2,0,2,0.4394,0.44,8,59,1,5,2011
56,1,0,4,0.6212,0.6,23,98,25,9,2012
75,1,0,4,0.2879,0.26,5,31,19,12,2012
56,1,0,3,0.6212,0.64,21,261,22,9,2012
66,1,0,3,0.697,0.74,18,347,14,8,2011
55,1,0,3,0.4545,0.46,9,210,16,9,2011
65,1,0,4,0.2879,0.24,0,34,9,12,2011
71,2,0,4,0.3636,0.36,8,372,3,10,2011
62,1,0,3,0.6818,0.74,10,381,29,7,2012
21,2,0,2,0.6364,0.7,16,591,12,5,2012
69,2,0,3,0.6061,0.62,12,295,17,9,2012
65,1,0,3,0.6364,0.68,18,339,11,9,2011
81,3,0,4,0.2727,0.3,14,126,30,10,2012
56,1,0,4,0.2273,0.24,5,2,19,11,2011
66,1,0,4,0.3333,0.34,22,104,14,12,2011
81,2,0,4,0.303,0.3,3,46,18,11,2012
56,2,0,2,0.6212,0.62,13,218,12,5,2011
69,3,0,1,0.1818,0.22,17,144,11,2,2012
88,1,0,4,0.4394,0.44,2,7,23,10,2012
63,1,0,3,0.7879,0.8,13,234,5,9,2012
53,1,0,1,0.3333,0.34,3,4,17,2,2011
83,2,0,2,0.5758,0.62,4,9,28,4,2011
61,1,0,4,0.3333,0.32,0,42,20,12,2012
28,1,0,3,0.697,0.8,15,249,12,8,2011
54,1,0,2,0.6515,0.7,12,330,16,5,2012
77,1,0,4,0.5,0.52,20,246,5,10,2011
49,1,0,4,0.2879,0.3,14,219,18,12,2011
57,1,0,3,0.6667,0.72,9,327,12,7,2012
56,3,0,2,0.7879,0.82,18,309,1,6,2011
77,1,0,2,0.4394,0.44,6,182,18,5,2012
62,1,0,3,0.6818,0.74,3,43,30,7,2011
69,2,0,1,0.2121,0.22,5,11,26,12,2012
52,2,0,1,0.2879,0.3,20,103,19,2,2012
74,2,0,1,0.1515,0.16,9,63,22,1,2012
73,1,0,4,0.5152,0.54,3,16,5,10,2012
94,3,0,4,0.5152,0.54,11,120,12,10,2011
100,3,0,2,0.5,0.52,23,44,14,5,2011
53,1,0,2,0.303,0.34,3,8,6,4,2012
87,2,0,4,0.3636,0.36,10,87,5,12,2011
94,3,0,1,0.4545,0.46,2,3,21,12,2012
66,1,0,3,0.6818,0.72,15,624,22,7,2012
65,1,0,4,0.6212,0.66,9,335,27,9,2012
65,1,0,3,0.2424,0.66,1,54,17,8,2012
44,1,0,1,0.2121,0.22,8,111,10,3,2012
89,1,0,3,0.5909,0.66,23,248,7,9,2012
83,2,0,2,0.5152,0.54,1,121,6,5,2012
83,1,0,2,0.5455,0.58,7,270,26,4,2011
37,2,0,1,0.2121,0.2,15,72,7,1,2011
88,2,0,2,0.5303,0.56,0,31,17,5,2011
60,1,0,3,0.6061,0.6,3,9,30,6,2011
39,2,0,1,0.2879,0.32,14,219,21,12,2012
69,1,0,3,0.6061,0.64,4,13,29,7,2012
82,2,0,2,0.3939,0.38,16,191,9,4,2011
88,3,0,2,0.4848,0.5,23,119,13,5,2011
54,1,0,4,0.4242,0.42,15,407,18,11,2012
47,1,0,4,0.4242,0.42,20,308,12,10,2012
100,2,0,2,0.4545,0.46,5,17,25,4,2011
52,1,0,2,0.7121,0.78,15,535,27,5,2012
100,2,0,1,0.2727,0.3,8,45,5,3,2011
82,2,0,4,0.4242,0.42,1,5,17,11,2011
67,1,0,4,0.4242,0.42,6,19,1,10,2011
87,2,1,1,0.2576,0.24,4,1,25,12,2012
72,1,0,3,0.4848,0.5,5,13,16,9,2012
73,1,0,3,0.5303,0.56,0,87,14,9,2012
48,1,0,4,0.5,0.52,16,281,9,11,2011
50,1,0,2,0.6212,0.62,22,175,15,6,2011
57,1,0,3,0.6667,0.72,2,18,29,6,2012
88,1,0,2,0.5,0.52,4,4,3,5,2011
66,1,0,3,0.6818,0.72,22,181,17,7,2011
74,1,0,3,0.697,0.72,21,278,27,8,2012
71,1,0,4,0.4242,0.42,10,129,8,11,2011
94,1,0,2,0.4394,0.44,7,237,20,4,2011
37,1,0,4,0.4091,0.4,13,127,13,12,2011
94,3,0,3,0.5152,0.54,1,5,7,9,2011
48,2,0,2,0.6818,0.76,16,378,19,6,2011
49,2,0,4,0.2879,0.3,8,648,5,11,2012
88,2,0,3,0.5152,0.54,7,329,20,9,2011
74,2,0,3,0.697,0.72,7,327,23,6,2011
60,2,0,1,0.2424,0.26,20,126,20,1,2011
100,2,0,4,0.5,0.6,1,31,23,9,2011
93,3,0,1,0.1818,0.2,17,26,26,1,2011
43,1,0,2,0.5455,0.58,19,384,9,5,2011
56,1,0,1,0.2879,0.32,8,217,28,12,2011
55,2,0,1,0.2424,0.18,2,16,8,1,2011
66,1,0,1,0.3182,0.32,22,47,23,12,2011
93,2,0,4,0.3485,0.36,2,70,8,12,2012
75,1,0,3,0.7424,0.76,18,839,5,9,2012
36,2,0,3,0.7424,0.84,19,497,3,7,2012
69,2,0,2,0.6212,0.66,18,434,5,5,2012
87,1,0,4,0.3485,0.34,4,8,3,10,2011
75,1,0,4,0.2121,0.2,22,80,17,12,2011
83,1,0,3,0.5758,0.62,1,25,23,8,2012
52,1,0,1,0.2879,0.3,0,69,28,1,2012
81,2,0,2,0.3485,0.36,14,212,9,4,2011
59,1,0,2,0.5,0.52,0,70,18,5,2012
70,1,0,4,0.2727,0.26,9,124,3,12,2011
51,1,0,2,0.6667,0.74,17,397,19,6,2011
70,1,0,3,0.697,0.74,2,73,5,8,2012
47,1,0,2,0.803,0.86,17,486,1,6,2011
45,1,1,1,0.3182,0.32,7,19,26,12,2011
70,1,0,3,0.697,0.74,20,229,4,9,2011
52,1,0,3,0.7121,0.78,17,820,31,7,2012
40,1,0,1,0.3939,0.38,18,156,20,3,2011
81,3,0,4,0.3485,0.36,14,256,2,10,2011
94,2,0,2,0.4848,0.5,9,318,22,3,2012
87,1,0,4,0.3182,0.3,5,18,8,11,2011
83,1,1,3,0.5758,0.64,0,140,4,7,2011
56,2,0,3,0.6212,0.66,21,177,1,9,2011
43,1,0,4,0.6212,0.62,15,230,14,10,2011
76,1,0,1,0.3485,0.32,2,75,1,1,2012
64,1,0,1,0.2273,0.2,2,4,24,2,2011
70,1,0,1,0.2727,0.28,2,6,25,1,2012
77,1,0,4,0.4848,0.5,9,328,27,10,2012
40,1,0,3,0.6212,0.6,4,11,27,6,2012
38,1,0,3,0.7273,0.82,16,416,9,7,2011
70,1,0,1,0.2576,0.24,5,1,18,2,2012
72,1,0,4,0.4394,0.44,21,99,23,10,2011
82,2,0,2,0.4697,0.48,0,33,26,3,2012
45,1,0,3,0.6667,0.74,22,263,13,7,2012
37,1,0,4,0.5303,0.56,14,371,12,10,2012
65,1,0,1,0.2273,0.24,23,25,1,3,2011
69,1,0,3,0.6364,0.68,22,145,27,6,2011
60,2,0,4,0.5152,0.54,11,128,14,11,2011
45,1,0,2,0.6515,0.72,17,549,20,5,2012
54,2,0,2,0.4394,0.44,7,157,4,4,2011
57,1,0,3,0.6667,0.72,20,291,5,8,2011
37,1,1,4,0.3939,0.38,14,247,11,11,2011
43,1,0,1,0.5303,0.56,17,612,7,3,2012
56,1,0,4,0.3333,0.36,10,154,11,12,2012
56,1,1,3,0.7879,0.82,22,502,4,7,2012
81,2,0,4,0.303,0.3,2,7,31,10,2012
25,1,0,3,0.7727,0.9,13,283,3,7,2012
64,1,0,3,0.6061,0.6,7,308,24,8,2011
57,2,0,2,0.6515,0.7,23,80,11,6,2012
87,3,0,1,0.3333,0.34,18,98,11,1,2012
57,1,0,2,0.7121,0.76,9,202,8,6,2011
51,1,0,3,0.6667,0.74,19,488,13,7,2012
71,3,1,4,0.4091,0.4,20,227,8,10,2012
70,1,0,1,0.3182,0.32,18,30,25,12,2011
59,1,0,4,0.5,0.52,4,5,17,10,2011
55,1,0,2,0.4697,0.48,18,333,7,4,2011
72,1,0,2,0.4545,0.46,3,14,18,5,2012
75,1,0,4,0.2576,0.22,7,26,3,12,2011
78,1,0,3,0.6061,0.66,7,71,9,7,2011
82,3,0,4,0.4091,0.4,18,106,7,10,2012
53,1,0,1,0.3333,0.34,16,246,25,1,2012
100,1,0,2,0.5152,0.54,3,9,25,5,2011
52,2,0,1,0.3333,0.3,7,24,8,1,2012
65,1,0,2,0.6515,0.7,13,203,25,4,2011
88,2,0,4,0.4242,0.42,19,340,17,12,2012
36,1,0,4,0.4848,0.5,14,435,23,11,2012
66,1,0,2,0.3636,0.34,5,24,25,4,2012
77,1,0,4,0.4394,0.44,3,1,23,10,2012
89,2,0,2,0.5909,0.66,5,21,1,6,2011
55,2,0,4,0.4697,0.48,12,197,4,11,2011
89,1,0,3,0.5909,0.66,1,73,2,9,2012
39,1,0,4,0.5,0.52,18,521,20,10,2012
74,1,0,2,0.6212,0.66,1,78,27,5,2012
84,1,0,3,0.6667,0.7,3,7,8,8,2012
70,1,0,3,0.697,0.74,17,808,6,9,2012
89,1,0,3,0.5758,0.64,0,96,7,9,2012
88,1,0,2,0.5606,0.62,4,14,12,6,2011
61,1,0,3,0.6061,0.62,4,11,28,6,2012
55,2,0,1,0.197,0.2,0,12,4,3,2011
94,1,0,2,0.4697,0.48,4,5,19,5,2011
56,1,0,2,0.6212,0.6,20,362,28,3,2012
28,1,0,1,0.6212,0.62,19,162,18,2,2011
